param_max_depth,param_max_features,param_n_estimators,params,mean_test_r2,rank_test_r2
10,5,50,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 50}",0.99659350080683,1
8,6,20,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 20}",0.9965409638119725,2
10,6,50,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 50}",0.9964398237399017,3
8,5,50,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 50}",0.9963912269082258,4
8,5,20,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 20}",0.9963418970889576,5
10,5,20,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 20}",0.9963369679090475,6
10,4,50,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 50}",0.9962947192374264,7
10,5,30,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 30}",0.9962923325556954,8
10,6,40,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 40}",0.9962750681634395,9
10,5,40,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 40}",0.9962707871936505,10
10,6,10,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 10}",0.996249372023685,11
10,4,20,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 20}",0.9962283520919154,12
8,6,50,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 50}",0.9961756581957666,13
8,5,40,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 40}",0.9961465370593683,14
8,5,30,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 30}",0.9961395287012603,15
10,4,30,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 30}",0.9960791827717473,16
10,6,20,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 20}",0.9960762673730352,17
8,6,40,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 40}",0.9960722879799864,18
10,4,40,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 40}",0.9960718010954249,19
10,6,30,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 30}",0.9960228380105784,20
10,5,10,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 10}",0.996013616588027,21
8,5,10,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 10}",0.995922703618174,22
8,6,10,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 10}",0.9957887501740178,23
8,6,30,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 30}",0.9957766251902284,24
10,4,10,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 10}",0.9957256797744698,25
8,4,50,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 50}",0.9956077135759142,26
8,4,30,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 30}",0.9954367981517829,27
6,6,50,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 50}",0.995432376057846,28
8,4,40,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 40}",0.9954240911885037,29
6,6,40,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 40}",0.9953074875173155,30
10,3,40,"{'max_depth': 10, 'max_features': 3, 'n_estimators': 40}",0.9952112491215782,31
10,3,30,"{'max_depth': 10, 'max_features': 3, 'n_estimators': 30}",0.9951520944159681,32
6,6,30,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 30}",0.9951399222751377,33
8,4,20,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 20}",0.9951094687517494,34
6,6,20,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 20}",0.9950625533229431,35
10,3,50,"{'max_depth': 10, 'max_features': 3, 'n_estimators': 50}",0.9950520739874816,36
10,3,20,"{'max_depth': 10, 'max_features': 3, 'n_estimators': 20}",0.9949346860273108,37
6,6,10,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 10}",0.9948199498678315,38
8,4,10,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 10}",0.9948013895151938,39
10,3,10,"{'max_depth': 10, 'max_features': 3, 'n_estimators': 10}",0.9942154075199021,40
6,5,40,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 40}",0.9940394024894381,41
6,5,30,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 30}",0.9940348789331168,42
6,5,50,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 50}",0.993958365221076,43
6,5,20,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 20}",0.9938756219609957,44
6,5,10,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 10}",0.9936945924091717,45
8,3,40,"{'max_depth': 8, 'max_features': 3, 'n_estimators': 40}",0.9929924640990316,46
8,3,50,"{'max_depth': 8, 'max_features': 3, 'n_estimators': 50}",0.992907106923212,47
