param_max_depth,param_max_features,param_n_estimators,params,mean_test_r2,rank_test_r2
10,5,30,"{'n_estimators': 30, 'max_features': 5, 'max_depth': 10}",0.9963694688783609,1
10,6,40,"{'n_estimators': 40, 'max_features': 6, 'max_depth': 10}",0.9963469218165685,2
8,6,30,"{'n_estimators': 30, 'max_features': 6, 'max_depth': 8}",0.9962730373792062,3
8,5,20,"{'n_estimators': 20, 'max_features': 5, 'max_depth': 8}",0.9962247466745598,4
10,6,20,"{'n_estimators': 20, 'max_features': 6, 'max_depth': 10}",0.9958596825310554,5
8,4,20,"{'n_estimators': 20, 'max_features': 4, 'max_depth': 8}",0.9952250129956806,6
6,5,50,"{'n_estimators': 50, 'max_features': 5, 'max_depth': 6}",0.994051930244793,7
6,4,30,"{'n_estimators': 30, 'max_features': 4, 'max_depth': 6}",0.990342969666929,8
6,4,50,"{'n_estimators': 50, 'max_features': 4, 'max_depth': 6}",0.9897371416989159,9
6,4,10,"{'n_estimators': 10, 'max_features': 4, 'max_depth': 6}",0.9896213608755975,10
5,6,50,"{'n_estimators': 50, 'max_features': 6, 'max_depth': 5}",0.9894116400821146,11
5,6,10,"{'n_estimators': 10, 'max_features': 6, 'max_depth': 5}",0.989089434291644,12
5,4,30,"{'n_estimators': 30, 'max_features': 4, 'max_depth': 5}",0.9829077927043567,13
6,3,50,"{'n_estimators': 50, 'max_features': 3, 'max_depth': 6}",0.9819992279908588,14
6,3,40,"{'n_estimators': 40, 'max_features': 3, 'max_depth': 6}",0.9817481201853842,15
4,3,30,"{'n_estimators': 30, 'max_features': 3, 'max_depth': 4}",0.940640964914552,16
3,6,40,"{'n_estimators': 40, 'max_features': 6, 'max_depth': 3}",0.9191605043619049,17
3,4,50,"{'n_estimators': 50, 'max_features': 4, 'max_depth': 3}",0.9139731367420444,18
3,3,30,"{'n_estimators': 30, 'max_features': 3, 'max_depth': 3}",0.8959067293129142,19
3,3,10,"{'n_estimators': 10, 'max_features': 3, 'max_depth': 3}",0.8905232403879972,20
